ID_Venda,ID_Cliente,ID_Produto,Data,Quantidade,Canal,Valor_Total
21200,903,55,2025-02-07 00:00:00,2,Online,38762
21201,834,3,2024-10-28 00:00:00,1,Online,132302
21202,531,84,2025-05-08 00:00:00,4,Loja Física,1619038
21203,428,98,2025-03-14 00:00:00,2,Online,820634
21204,928,6,2024-12-04 00:00:00,4,Online,1332389
21205,628,30,2024-12-08 00:00:00,2,Online,656518
21206,965,78,2024-10-12 00:00:00,2,Online,885256
21207,184,26,2025-05-07 00:00:00,1,Online,31242
21208,909,19,2024-12-11 00:00:00,1,Loja Física,36876
21209,760,38,2024-11-12 00:00:00,4,Online,77132
21210,267,63,2025-06-25 00:00:00,1,Loja Física,265308
21211,657,33,2025-07-23 00:00:00,2,Loja Física,612229
21212,501,34,2024-12-12 00:00:00,4,Online,147488
21213,129,33,2025-09-06 00:00:00,1,Online,306114
21214,235,20,2025-02-26 00:00:00,1,Loja Física,222807
21215,652,99,2024-11-22 00:00:00,4,Loja Física,1710992
21216,529,96,2025-03-24 00:00:00,4,Loja Física,171352
21217,476,58,2025-08-02 00:00:00,4,Online,1458775
21218,311,59,2025-08-26 00:00:00,4,Online,1682784
21219,400,94,2025-06-12 00:00:00,2,Online,81146
21220,454,16,2024-11-20 00:00:00,2,Loja Física,1023712
21221,386,91,2025-03-08 00:00:00,3,Online,1624877
21222,661,60,2025-04-22 00:00:00,2,Online,893883
21223,87,78,2024-12-06 00:00:00,1,Online,442628
21224,764,100,2025-02-24 00:00:00,4,Loja Física,4000
21225,617,41,2025-04-24 00:00:00,1,Online,278707
21226,93,35,2025-08-15 00:00:00,4,Loja Física,93134
21227,313,24,2025-05-09 00:00:00,4,Online,1930327
21228,500,69,2024-10-23 00:00:00,4,Online,1223925
21229,535,29,2025-02-12 00:00:00,3,Online,1569851
21230,863,3,2025-04-07 00:00:00,1,Loja Física,132302
21231,224,44,2024-12-02 00:00:00,2,Online,655666
21232,581,21,2025-09-19 00:00:00,1,Loja Física,122149
21233,486,66,2025-01-23 00:00:00,1,Online,301039
21234,386,7,2025-06-26 00:00:00,2,Loja Física,767056
21235,289,98,2025-02-18 00:00:00,3,Online,1230951
21236,411,1,2025-09-26 00:00:00,2,Loja Física,382915
21237,818,68,2025-09-06 00:00:00,1,Online,461441
21238,270,46,2025-05-24 00:00:00,1,Online,9310
21239,158,25,2025-08-02 00:00:00,2,Online,367749
21240,386,94,2025-09-06 00:00:00,4,Online,162292
21241,503,95,2025-05-13 00:00:00,3,Loja Física,561354
21242,122,32,2025-08-10 00:00:00,4,Online,1491982
21243,115,65,2025-03-23 00:00:00,1,Loja Física,10744
21244,983,1,2025-09-04 00:00:00,2,Loja Física,382915
21245,290,70,2025-02-04 00:00:00,4,Online,1201968
21246,277,48,2024-11-14 00:00:00,4,Online,1253124
21247,51,39,2025-07-24 00:00:00,3,Online,1500485
21248,962,41,2024-12-01 00:00:00,4,Loja Física,1114826
21249,831,20,2025-01-06 00:00:00,4,Loja Física,89123
21250,229,86,2025-02-26 00:00:00,3,Loja Física,1209882
21251,19,52,2025-07-21 00:00:00,3,Online,1077703
21252,857,21,2024-11-16 00:00:00,3,Online,366447
21253,852,55,2025-02-28 00:00:00,1,Loja Física,19381
21254,971,76,2025-02-04 00:00:00,1,Online,313557
21255,542,95,2025-05-30 00:00:00,3,Online,561354
21256,93,93,2025-09-17 00:00:00,3,Loja Física,1405144
21257,761,30,2024-12-23 00:00:00,2,Online,656518
21258,895,21,2024-10-11 00:00:00,3,Loja Física,366447
21259,96,59,2025-05-17 00:00:00,4,Online,1682784
21260,465,2,2025-07-23 00:00:00,2,Loja Física,685647
21261,443,99,2025-03-09 00:00:00,1,Online,427748
21262,111,75,2025-05-30 00:00:00,3,Online,159922
21263,220,74,2024-12-05 00:00:00,1,Loja Física,239218
21264,751,47,2025-08-17 00:00:00,1,Online,357642
21265,698,88,2025-08-09 00:00:00,1,Loja Física,25529
21266,812,45,2024-12-21 00:00:00,1,Loja Física,144891
21267,546,99,2024-10-22 00:00:00,2,Loja Física,855496
21268,932,10,2024-12-14 00:00:00,1,Loja Física,352455
21269,895,97,2025-05-24 00:00:00,1,Online,487918
21270,758,41,2025-04-25 00:00:00,3,Loja Física,83612
21271,476,95,2025-02-16 00:00:00,4,Loja Física,748472
21272,400,74,2025-06-25 00:00:00,1,Loja Física,239218
21273,824,63,2025-01-27 00:00:00,2,Loja Física,530616
21274,34,39,2025-07-18 00:00:00,3,Loja Física,1500485
21275,193,87,2025-08-28 00:00:00,2,Loja Física,997294
21276,504,14,2024-10-09 00:00:00,4,Online,1238012
21277,763,28,2024-10-11 00:00:00,2,Online,995718
21278,563,14,2025-04-06 00:00:00,2,Loja Física,619006
21279,146,94,2025-04-12 00:00:00,1,Loja Física,40573
21280,749,8,2025-06-01 00:00:00,2,Loja Física,61459
21281,359,38,2025-01-07 00:00:00,1,Loja Física,19283
21282,891,86,2025-09-25 00:00:00,1,Loja Física,403294
21283,642,2,2025-09-18 00:00:00,4,Online,1371293
21284,489,1,2024-12-20 00:00:00,3,Online,574372
21285,770,91,2025-09-08 00:00:00,3,Loja Física,1624877
