ID_Venda,ID_Cliente,ID_Produto,Data,Quantidade,Canal,Valor_Total,Mes
1,350,45,2022-09-23,4,Online,5795.64,09
2,925,68,2024-02-09,1,Loja Física,4614.41,02
3,915,75,2022-09-11,4,Online,2057.48,09
4,494,47,2024-05-10,4,Loja Física,12864.44,05
5,523,79,2023-10-15,4,Loja Física,13317.28,10
6,98,30,2022-10-11,1,Loja Física,3282.59,10
7,946,24,2024-02-24,4,Loja Física,18611.12,02
8,71,66,2024-03-07,2,Online,5811.56,03
9,364,43,2023-06-18,2,Loja Física,70319.4,06
10,570,34,2023-05-12,4,Online,1445.64,05
11,802,23,2023-10-04,3,Loja Física,13944.27,10
12,763,61,2022-09-02,3,Online,14425.53,09
13,276,95,2022-10-09,1,Loja Física,1742.87,10
14,50,37,2023-03-27,1,Online,3419.9,03
15,358,13,2022-03-21,2,Loja Física,8671.44,03
16,728,97,2024-01-01,2,Loja Física,9758.36,01
17,906,71,2022-10-20,4,Loja Física,7356.52,10
18,928,96,2022-08-29,3,Online,1285.14,08
19,564,7,2022-10-06,2,Loja Física,7670.56,10
20,783,42,2022-12-10,3,Loja Física,10455.99,12
21,485,38,2022-11-24,1,Online,1928.3,11
22,84,52,2024-07-03,1,Online,3372.03,07
23,899,44,2023-07-08,4,Loja Física,13113.32,07
24,805,64,2022-03-24,4,Online,8277.0,03
25,638,13,2022-05-22,2,Online,8671.44,05
26,808,88,2022-06-04,3,Loja Física,741.39,06
27,584,28,2022-08-25,2,Online,9957.18,08
28,296,96,2023-01-28,2,Online,856.76,01
29,236,82,2023-12-12,3,Online,13325.58,12
30,56,98,2022-06-06,2,Loja Física,8206.34,06
31,919,98,2023-12-25,4,Online,16412.68,12
32,360,1,2022-08-08,3,Loja Física,4897.83,08
33,907,43,2022-03-07,3,Loja Física,10547.91,03
34,110,42,2023-03-01,2,Online,6970.66,03
35,192,95,2023-02-22,3,Loja Física,5228.61,02
36,904,50,2022-12-05,4,Loja Física,14220.72,12
37,93,60,2023-07-10,4,Loja Física,16135.08,07
38,862,1,2023-04-23,1,Loja Física,1632.61,04
39,568,51,2023-03-02,1,Online,2330.34,03
40,60,16,2022-03-05,1,Loja Física,4954.33,03
41,650,39,2022-07-31,1,Loja Física,4714.29,07
42,39,15,2024-05-02,2,Loja Física,5893.32,05
43,540,33,2023-03-07,1,Online,3006.48,03
44,49,87,2023-02-03,1,Online,4986.47,02
45,420,53,2024-07-15,1,Loja Física,4203.1,07
46,637,98,2024-02-28,1,Loja Física,4103.17,02
47,13,17,2023-08-22,2,Online,7615.96,08
48,992,89,2024-08-26,1,Online,4497.09,08
49,36,6,2023-12-14,3,Online,9469.02,12
50,101,31,2022-01-21,4,Loja Física,16166.52,01
51,794,69,2024-05-27,3,Online,8872.89,05
52,86,40,2024-06-20,2,Online,1840.1,06
